iter	Logloss
223	0.4334181132
224	0.432230558
225	0.4308192799
226	0.4299898212
227	0.4290725578
228	0.4282549145
229	0.4278797834
230	0.4269333763
231	0.425691755
232	0.4249190799
233	0.4238594473
234	0.4230169165
235	0.4221000656
236	0.4214311956
237	0.4206872815
238	0.4200245407
239	0.4190071101
240	0.4184828667
241	0.417704313
242	0.4170161534
243	0.4155471763
244	0.4148667652
245	0.4139162863
246	0.4123645861
247	0.4115244385
248	0.4106853885
249	0.4105484665
250	0.4096692986
251	0.4087410229
252	0.4074233569
253	0.4069436326
254	0.4064817806
255	0.4054838995
256	0.4045149075
257	0.4033497696
258	0.4020588358
259	0.4011749987
260	0.4003903035
261	0.399660786
262	0.3990584558
263	0.398260818
264	0.3976430996
265	0.3968069217
266	0.3963345744
267	0.3957996186
268	0.3943270316
269	0.393617572
270	0.3924667746
271	0.3915979446
272	0.3907695495
273	0.3903623455
274	0.3894990889
275	0.3888692796
276	0.3880437552
277	0.3866957097
278	0.3859555836
279	0.3849253871
280	0.3844370307
281	0.3837780383
282	0.3831373574
283	0.3824151355
284	0.3812998509
285	0.3806788659
286	0.3800984543
287	0.3792101415
288	0.3781852735
289	0.3776215611
290	0.3771843795
291	0.3766528342
292	0.3752319677
293	0.3740682035
294	0.373801833
295	0.3726081944
296	0.3721307607
297	0.3711887854
298	0.3705740008
299	0.3699207292
300	0.3688266359
301	0.3681962411
302	0.3679049209
303	0.3673683398
304	0.3667059072
305	0.365855744
306	0.3649467683
307	0.3642030487
308	0.3636802495
309	0.3632671314
310	0.3623090977
311	0.361414202
312	0.3608772269
313	0.3603862597
314	0.3599549384
315	0.3594930565
316	0.3585331234
317	0.3577923124
318	0.3565748589
319	0.3560667652
320	0.3551211083
321	0.3545283912
322	0.3539246176
323	0.3532604043
324	0.3520589266
325	0.3513398217
326	0.3506937439
327	0.3500404215
328	0.349452909
329	0.3492081983
330	0.3484996758
331	0.3479029711
332	0.3476901933
333	0.3467919875
334	0.3458186575
335	0.3455226966
336	0.3446900569
337	0.3439504439
338	0.3431820395
339	0.3424477122
340	0.3421091488
341	0.3415189663
342	0.340582273
343	0.3399531659
344	0.3387774529
345	0.3381274101
346	0.3371823089
347	0.3362853191
348	0.3356493119
349	0.3345277561
350	0.3336212506
351	0.3328453314
352	0.3317748195
353	0.3314432062
354	0.3301798727
355	0.3293258506
356	0.3287421461
357	0.3286658939
358	0.3275937258
359	0.3269421739
360	0.3262376564
361	0.325503441
362	0.3250777852
363	0.3247839865
364	0.3244024277
365	0.3234733703
366	0.3229873652
367	0.3228175487
368	0.322139495
369	0.321377719
370	0.3208244216
371	0.3198872882
372	0.3192941992
373	0.3182996514
374	0.317419716
375	0.3170953687
376	0.3167850585
377	0.3161603673
378	0.3157974401
379	0.314794771
380	0.3144895149
381	0.3142099661
382	0.3137011818
383	0.3130253115
384	0.3122853364
385	0.3113507749
386	0.3110015531
387	0.3107837871
388	0.3106126962
389	0.3100968702
390	0.3095953952
391	0.3088705239
392	0.3085333863
393	0.3080530979
394	0.3073640873
395	0.3069002322
396	0.3064290895
397	0.3058768253
398	0.305370986
399	0.3049956365
